Tree Size(Defenses),Dummiest,BILP,BDD-BU,BDD-ALL-DEF,BU,BDD-PATHS
38(11),,632.52,,,0.24,
37(5),,50.31,,,0.21,
27(5),,48.84,,,0.09,
39(8),,208.07,,,0.14,
37(5),,34.9,,,0.11,
37(5),,8.06,,,0.27,
38(9),,811.58,,,0.12,
39(7),,104.03,,,0.12,
38(8),,369.77,,,0.13,
35(12),,3119.42,,,0.14,
34(3),,15.22,,,0.09,
36(12),,763.89,,,0.14,
30(8),,294.04,,,0.11,
40(12),,9981.73,,,0.17,
26(5),,14.66,,,0.08,
37(13),,30457.73,,,0.15,
37(2),,6.48,,,0.33,
31(11),,3120.57,,,0.12,
34(5),,23.53,,,0.2,
40(13),,8101.4,,,0.15,
41(18),,339567.53,,,0.18,
31(5),,66.43,,,0.1,
42(18),,786313.75,,,0.77,
37(14),,64520.52,,,0.14,
42(8),,222.22,,,0.13,
37(4),,30.66,,,0.11,
44(9),,871.42,,,0.13,
38(6),,18.77,,,0.11,
41(3),,6.29,,,0.1,
35(9),,535.79,,,0.13,
43(8),,337.02,,,0.15,
40(9),,884.33,,,0.13,
34(13),,35413.96,,,0.13,
42(15),,86544.89,,,0.16,
9(2),,2.72,,,0.04,
44(12),,776.65,,,0.15,
40(10),,804.47,,,0.12,
47(7),,28.33,,,0.25,
33(5),,61.83,,,0.17,
42(17),,655067.07,,,0.22,
43(5),,31.05,,,0.12,
38(4),,10.42,,,0.19,
44(24),,11804326.75,,,0.21,
41(11),,1606.59,,,0.14,
45(16),,284037.14,,,0.18,
44(12),,8988.5,,,0.17,
35(8),,361.43,,,0.11,
41(9),,2625.53,,,0.12,
47(10),,6112.21,,,0.14,
47(9),,3484.35,,,0.13,
38(15),,148299.1,,,0.15,
45(12),,26116.46,,,0.14,
47(16),,42251.83,,,0.42,
47(12),,9866.64,,,0.23,
42(7),,2519.72,,,0.2,
45(15),,19292.13,,,0.42,
44(10),,6200.23,,,0.28,
45(13),,45957.54,,,0.2,
48(17),,617154.84,,,0.19,
48(12),,20937.89,,,0.15,
37(4),,290.89,,,0.1,
48(19),,1643832.87,,,0.19,
45(7),,1587.61,,,0.13,
43(15),,171780.99,,,0.16,
54(14),,47298.33,,,0.19,
53(17),,637015.68,,,0.19,
43(18),,646071.65,,,0.17,
47(8),,485.76,,,0.15,
49(8),,1196.9,,,0.13,
45(12),,25723.74,,,0.16,
46(8),,2070.28,,,0.13,
46(10),,6801.6,,,0.14,
44(14),,64176.73,,,0.17,
43(7),,1253.98,,,0.14,
48(10),,916.02,,,0.15,
49(16),,416375.39,,,0.2,
43(5),,477.58,,,0.1,
37(8),,785.18,,,0.11,
39(13),,45051.01,,,0.3,
49(22),,4167786.02,,,0.18,
45(22),,4425799.27,,,0.18,
52(8),,396.41,,,0.13,
48(20),,1894470.45,,,0.2,
52(5),,71.26,,,0.13,
47(16),,39798.35,,,0.18,
39(4),,469.35,,,0.1,
44(14),,1606.76,,,0.15,
48(10),,37366.43,,,0.2,
50(14),,45836.11,,,0.34,
47(8),,1632.45,,,0.13,
54(8),,847.53,,,0.16,
