Tree Size(Defenses),Dummiest,BILP,BDD-BU,BDD-ALL
11(4),0.04,,0.19,
61(21),0.19,,11.32,
58(23),0.19,,4.6,
61(8),0.4,,3.82,
71(34),0.25,,10.82,
52(24),0.19,,5.7,
3(0),0.01,,0.08,
7(2),0.03,,0.42,
31(8),0.15,,1.1,
61(10),0.15,,7.49,
31(3),0.07,,1.14,
61(19),0.49,,5.43,
24(5),0.07,,0.93,
46(17),0.15,,2.41,
89(38),0.31,,13.36,
60(15),0.17,,8.21,
2(0),0.01,,0.04,
47(15),0.14,,2.39,
79(29),0.25,,27.14,
65(18),4.03,,8.14,
67(23),0.19,,7.36,
58(8),0.13,,4.31,
38(14),0.12,,1.7,
81(16),0.2,,70.51,
73(31),0.25,,11.25,
28(5),0.07,,0.7,
29(12),0.12,,0.85,
44(11),0.11,,1.54,
56(26),0.49,,6.62,
46(15),0.19,,2.85,
7(3),0.03,,0.11,
19(1),0.04,,0.3,
78(27),0.26,,12.76,
64(14),0.17,,7.15,
7(1),0.02,,0.11,
28(3),0.06,,1.01,
14(3),0.04,,0.4,
55(17),0.15,,2.58,
55(15),0.16,,5.55,
34(3),0.07,,1.43,
88(30),0.26,,15.29,
51(9),0.17,,6.55,
7(1),0.02,,0.12,
87(19),0.24,,29.01,
43(4),0.09,,1.75,
12(2),0.03,,0.2,
19(8),0.07,,0.38,
53(24),0.18,,3.73,
26(7),0.08,,0.7,
30(4),0.07,,1.25,
3(1),0.01,,0.19,
16(3),0.04,,0.46,
30(11),0.09,,1.12,
4(0),0.01,,0.08,
30(12),0.1,,1.03,
81(23),0.27,,8.33,
73(21),0.2,,6.92,
35(10),0.11,,1.21,
30(5),0.07,,1.41,
68(30),0.22,,8.51,
2(0),0.03,,0.04,
36(5),0.08,,1.95,
49(11),0.12,,1.98,
63(28),0.2,,11.41,
26(3),0.06,,0.83,
36(3),0.09,,1.34,
76(20),0.25,,15.98,
33(3),0.08,,1.33,
54(14),0.61,,5.5,
7(2),0.09,,0.16,
79(17),0.26,,15.16,
84(38),0.3,,36.55,
48(20),0.16,,2.61,
74(20),0.22,,11.89,
25(4),0.06,,0.7,
19(3),0.04,,0.5,
47(20),0.59,,3.82,
64(23),0.19,,8.83,
4(1),0.02,,0.07,
52(12),0.14,,5.18,
46(5),0.1,,2.59,
23(4),0.06,,0.63,
15(3),0.04,,0.44,
57(17),0.2,,5.43,
63(12),0.15,,3.74,
84(35),0.29,,13.39,
22(7),0.07,,0.54,
33(12),0.1,,1.11,
89(32),0.28,,40.36,
18(11),0.08,,0.47,
15(1),0.03,,0.27,
67(37),0.22,,7.29,
88(29),0.28,,29.89,
33(8),0.1,,1.53,
83(30),0.32,,13.73,
31(15),0.1,,1.12,
32(14),0.14,,1.67,
21(4),0.05,,0.48,
77(18),0.25,,21.04,
8(1),0.02,,0.14,
3(0),0.01,,0.05,
85(26),0.29,,34.44,
70(19),0.21,,4.99,
63(26),0.21,,6.19,
58(20),0.2,,4.03,
19(7),0.14,,0.6,
58(20),0.19,,7.01,
40(5),0.1,,1.45,
3(1),0.02,,0.07,
18(4),0.06,,0.42,
14(2),0.04,,0.33,
79(18),0.2,,5.89,
77(31),0.25,,11.51,
60(20),0.2,,6.2,
10(5),0.15,,0.2,
7(3),0.03,,0.12,
65(26),0.24,,8.99,
81(17),0.21,,12.28,
67(16),0.18,,8.2,
23(5),0.07,,0.6,
65(13),0.16,,5.17,
76(37),0.26,,27.5,
