Tree Size(Defenses),Dummiest,BILP,BDD-BU,BDD-ALL-DEF,BU,BDD-PATHS
67(16),,,14.29,,,1774.1
62(10),,,5.72,,,303.41
66(7),,,5.97,,,150.5
68(30),,,7.7,,,1694.39
61(17),,,5.71,,,48.19
67(34),,,6.49,,,110.61
67(19),,,9.34,,,159.07
68(16),,,7.57,,,278.94
61(8),,,7.01,,,32.94
72(28),,,9.04,,,8344.37
73(27),,,18.89,,,1584.61
68(11),,,7.6,,,551.65
73(22),,,13.53,,,617.38
74(12),,,11.93,,,4909.8
73(19),,,11.83,,,786.66
74(24),,,28.9,,,2501.16
69(20),,,5.88,,,71.11
78(21),,,17.2,,,6543.05
79(24),,,17.13,,,878.14
70(17),,,9.12,,,848.02
64(27),,,5.2,,,36.61
72(29),,,9.44,,,375.73
53(7),,,2.96,,,24.66
77(23),,,18.76,,,3269.28
78(28),,,11.25,,,486.34
57(14),,,5.0,,,59.3
75(11),,,11.92,,,1610.76
75(15),,,17.76,,,2219.22
85(29),,,15.16,,,459.79
87(18),,,22.44,,,2082.8
74(9),,,7.3,,,624.24
79(17),,,9.26,,,196.72
87(21),,,19.98,,,1777.67
82(24),,,22.89,,,5203.42
84(12),,,15.55,,,6689.1
87(22),,,14.41,,,606.36
65(31),,,8.69,,,415.58
85(23),,,9.85,,,505.31
79(25),,,15.15,,,1037.47
72(16),,,11.16,,,848.6
74(19),,,11.75,,,3333.75
80(33),,,18.3,,,1446.74
80(15),,,9.69,,,3190.81
74(35),,,10.39,,,281.9
75(28),,,8.77,,,229.57
75(30),,,6.21,,,1006.51
84(34),,,9.78,,,304.41
76(13),,,9.01,,,1331.0
71(9),,,6.33,,,266.71
87(22),,,22.42,,,7180.21
83(20),,,10.21,,,551.53
88(18),,,14.76,,,1406.6
86(15),,,14.21,,,618.84
86(24),,,11.28,,,12419.26
83(13),,,26.42,,,4339.63
85(14),,,27.92,,,9189.12
97(23),,,44.95,,,6109.06
94(19),,,25.31,,,27873.79
79(26),,,12.97,,,22481.15
86(18),,,23.0,,,928.24
91(22),,,19.85,,,797.31
92(26),,,10.43,,,65956.51
96(31),,,31.25,,,2488.53
85(18),,,17.05,,,25781.87
91(21),,,14.66,,,2352.97
93(31),,,23.54,,,4019.01
93(18),,,24.38,,,3156.96
80(29),,,10.89,,,167.82
95(25),,,27.49,,,31719.84
97(18),,,27.87,,,8304.17
76(10),,,12.52,,,1024.2
93(15),,,45.44,,,2484.54
91(24),,,16.52,,,2610.13
93(43),,,29.14,,,8614.54
85(28),,,14.7,,,1239.99
94(17),,,9.67,,,2446.73
98(36),,,28.99,,,4330.55
85(19),,,50.92,,,10984.39
99(25),,,43.51,,,51833.44
92(24),,,38.53,,,2088.66
91(17),,,29.47,,,845.26
88(11),,,29.84,,,2544.12
92(33),,,15.93,,,2771.99
98(25),,,16.36,,,9240.63
93(33),,,12.09,,,305.08
104(37),,,19.25,,,9147.21
98(25),,,78.13,,,31722.65
91(16),,,35.52,,,4163.46
101(29),,,43.05,,,3617.79
97(12),,,24.44,,,2204.08
94(36),,,41.34,,,1847.23
97(32),,,35.38,,,11003.0
110(29),,,106.35,,,671264.87
104(38),,,35.74,,,12330.23
106(34),,,57.18,,,33908.86
88(26),,,25.68,,,806.19
97(26),,,33.97,,,11021.18
80(22),,,12.91,,,1347.05
107(46),,,30.74,,,6916.15
104(30),,,14.91,,,23806.83
95(32),,,27.27,,,48590.3
106(36),,,56.95,,,78887.9
106(27),,,51.5,,,13190.5
97(23),,,14.07,,,6851.59
