Tree Size(Defenses),Dummiest,BILP,BDD-BU,BDD-ALL-DEF,BU,BDD-PATHS
172(55),,,128.13,,0.63,
24(9),,,0.47,,0.08,
8(0),,,0.14,,0.12,
209(55),,,87.83,,0.71,
160(41),,,65.91,,0.45,
260(69),,,714.49,,0.96,
200(75),,,556.46,,0.91,
312(90),,,20482.02,,1.27,
104(48),,,26.9,,0.47,
75(25),,,14.33,,0.23,
269(78),,,2494.03,,0.85,
96(19),,,25.86,,0.23,
140(59),,,683.34,,0.63,
163(43),,,86.96,,0.47,
151(42),,,58.82,,0.65,
232(68),,,465.01,,1.04,
260(76),,,5393.1,,0.96,
73(17),,,5.3,,0.21,
120(21),,,27.41,,0.29,
105(23),,,15.49,,0.32,
150(38),,,39.42,,0.52,
300(82),,,7984.87,,0.99,
83(34),,,13.65,,0.27,
92(29),,,12.76,,0.3,
322(86),,,811301.37,,1.01,
287(98),,,797.7,,0.99,
238(60),,,1767.32,,0.69,
262(67),,,3153.69,,0.78,
192(72),,,84.16,,0.75,
4(0),,,0.11,,0.01,
64(17),,,4.24,,0.18,
77(38),,,7.4,,0.27,
103(23),,,17.91,,0.28,
201(55),,,450.69,,0.63,
252(56),,,9292.33,,0.89,
139(47),,,47.86,,0.75,
117(32),,,30.63,,0.32,
298(87),,,12510.74,,1.18,
311(104),,,9642.52,,1.24,
261(94),,,1506.03,,1.0,
126(45),,,102.11,,0.48,
276(92),,,2332.33,,1.04,
16(2),,,0.77,,0.04,
28(1),,,0.65,,0.06,
159(53),,,121.07,,0.63,
161(42),,,32.72,,0.61,
261(60),,,796.42,,0.84,
177(44),,,96.92,,0.63,
69(20),,,6.24,,0.26,
57(22),,,10.03,,0.24,
3(0),,,0.1,,0.01,
83(25),,,13.88,,0.24,
166(52),,,69.78,,0.53,
126(33),,,45.25,,0.37,
261(93),,,958.35,,0.85,
246(58),,,1424.33,,0.72,
269(93),,,2143.77,,1.18,
135(46),,,20.99,,0.42,
158(44),,,130.06,,0.47,
206(51),,,89.15,,0.86,
70(14),,,7.04,,0.16,
95(9),,,18.57,,0.25,
182(46),,,102.83,,0.86,
211(59),,,334.35,,0.68,
304(59),,,3688.74,,1.02,
244(65),,,11875.7,,0.86,
130(52),,,94.67,,0.5,
86(25),,,15.82,,0.26,
144(30),,,44.7,,0.44,
8(0),,,0.16,,0.03,
241(66),,,1795.05,,0.76,
262(81),,,4561.5,,1.03,
158(41),,,217.43,,0.51,
196(52),,,302.29,,0.65,
209(83),,,109.74,,0.84,
299(111),,,2675.97,,1.07,
145(42),,,273.59,,0.51,
107(26),,,45.91,,0.28,
108(32),,,50.6,,0.31,
193(50),,,574.76,,0.59,
18(1),,,0.5,,0.04,
93(17),,,12.54,,0.22,
226(46),,,436.67,,0.67,
121(16),,,196.88,,0.33,
5(0),,,0.58,,0.01,
3(0),,,0.13,,0.01,
163(34),,,132.94,,0.48,
255(77),,,715.62,,0.83,
178(37),,,183.34,,0.54,
105(26),,,40.83,,0.28,
226(86),,,706.23,,0.78,
6(0),,,0.14,,0.02,
294(66),,,524.85,,1.06,
144(38),,,21.97,,0.5,
252(88),,,2244.64,,0.88,
214(41),,,124.55,,0.56,
120(41),,,107.38,,0.53,
263(85),,,550.46,,1.03,
186(68),,,112.36,,0.61,
29(3),,,3.04,,0.07,
198(72),,,227.79,,0.67,
125(29),,,68.5,,0.33,
257(77),,,2998.7,,0.82,
21(1),,,0.56,,0.05,
203(60),,,104.39,,0.74,
58(14),,,5.3,,0.16,
193(66),,,87.38,,0.6,
49(6),,,2.28,,0.11,
167(46),,,105.66,,0.63,
52(20),,,3.72,,0.19,
100(34),,,44.47,,0.31,
3(0),,,0.1,,0.01,
196(36),,,35.63,,0.52,
287(94),,,92583.69,,0.93,
39(11),,,1.21,,0.13,
10(1),,,0.17,,0.03,
118(35),,,23.21,,0.41,
129(41),,,25.5,,0.37,
45(9),,,1.58,,0.12,
62(10),,,2.29,,0.2,
5(0),,,0.12,,0.02,
157(50),,,430.03,,0.56,
133(24),,,60.12,,0.39,
312(87),,,946.65,,1.0,
120(27),,,160.45,,0.32,
227(78),,,677.93,,0.83,
70(30),,,13.45,,0.22,
271(107),,,8529.26,,0.93,
288(95),,,4329.99,,1.15,
33(9),,,0.99,,0.14,
89(20),,,30.89,,0.23,
58(6),,,4.13,,0.12,
220(64),,,2021.66,,0.73,
134(32),,,150.73,,0.39,
124(30),,,65.66,,0.39,
304(77),,,194237.79,,1.07,
188(72),,,216.93,,0.68,
54(17),,,2.19,,0.19,
196(68),,,33.8,,0.64,
210(62),,,519.18,,0.7,
248(77),,,573.98,,0.8,
260(81),,,508.46,,0.83,
154(50),,,60.63,,0.49,
273(72),,,190.67,,1.02,
7(1),,,0.17,,0.03,
167(52),,,40.6,,0.51,
113(19),,,23.86,,0.27,
241(61),,,3726.99,,0.71,
239(84),,,931.42,,0.79,
5(1),,,0.48,,0.02,
29(4),,,0.55,,0.08,
274(77),,,1652.46,,0.79,
213(78),,,907.49,,0.71,
275(84),,,3721.84,,1.03,
274(78),,,1084.88,,1.03,
108(24),,,23.24,,0.26,
222(38),,,1133.59,,0.64,
174(60),,,156.89,,0.9,
112(41),,,39.35,,0.4,
255(77),,,4018.32,,0.76,
176(72),,,133.0,,0.55,
69(21),,,4.05,,0.25,
59(22),,,3.92,,0.2,
268(94),,,4591.63,,0.9,
36(3),,,2.44,,0.08,
147(45),,,32.18,,0.45,
165(38),,,242.23,,0.62,
112(26),,,35.47,,0.41,
131(25),,,13.51,,0.98,
73(11),,,11.72,,0.16,
82(22),,,6.33,,0.22,
132(36),,,40.21,,0.43,
11(3),,,3.65,,0.15,
179(33),,,153.43,,0.45,
231(70),,,1008.57,,0.69,
196(67),,,190.4,,0.65,
38(7),,,2.96,,0.09,
191(64),,,770.33,,0.68,
181(64),,,232.42,,0.66,
134(33),,,45.34,,0.4,
251(64),,,2596.43,,0.82,
266(60),,,1950.77,,1.34,
300(79),,,4818.66,,0.92,
196(54),,,55.31,,0.57,
276(72),,,1604.79,,0.82,
250(69),,,700.35,,0.77,
243(46),,,618.07,,0.69,
10(3),,,0.98,,0.04,
88(21),,,14.41,,0.23,
281(59),,,22485.71,,0.96,
110(37),,,35.23,,0.32,
87(10),,,186.44,,0.2,
114(45),,,29.37,,0.56,
133(39),,,68.72,,0.47,
43(6),,,1.38,,0.12,
267(78),,,776.0,,1.12,
293(78),,,4321.7,,1.08,
228(58),,,2077.17,,0.71,
182(53),,,164.73,,0.76,
125(45),,,44.27,,0.4,
37(14),,,1.59,,0.14,
26(11),,,1.09,,0.18,
25(10),,,1.35,,0.09,
294(110),,,1062.5,,1.49,
130(21),,,45.99,,0.33,
5(1),,,0.45,,0.02,
287(67),,,8091.2,,1.65,
138(38),,,116.03,,0.49,
112(19),,,138.04,,0.26,
272(84),,,47515.81,,0.9,
184(44),,,4057.77,,0.55,
327(67),,,162710.17,,0.94,
228(71),,,557.52,,0.72,
53(10),,,4.03,,0.13,
180(57),,,2220.26,,0.55,
309(83),,,100854.09,,0.97,
145(52),,,42.68,,0.54,
178(49),,,114.92,,0.83,
319(88),,,11552.65,,1.24,
224(65),,,1690.0,,0.97,
88(28),,,8.59,,0.35,
54(6),,,3.3,,0.11,
219(90),,,302.25,,0.72,
60(7),,,3.0,,0.13,
305(99),,,110616.46,,0.99,
230(75),,,420.84,,0.77,
147(41),,,103.03,,0.43,
228(73),,,428.94,,0.72,
95(28),,,54.59,,0.26,
147(58),,,316.66,,0.71,
292(80),,,6514.18,,0.98,
74(13),,,28.2,,0.33,
11(1),,,0.61,,0.03,
91(17),,,17.77,,0.22,
287(103),,,6103.27,,0.94,
9(2),,,13.78,,0.05,
42(10),,,3.71,,0.11,
110(46),,,26.43,,0.43,
74(19),,,5.33,,0.2,
313(103),,,6314.76,,1.07,
33(4),,,4.84,,0.08,
137(26),,,52.49,,0.51,
17(4),,,0.3,,0.05,
313(81),,,5324.52,,0.98,
4(1),,,0.46,,0.02,
165(45),,,147.75,,0.51,
19(6),,,0.34,,0.07,
21(4),,,0.39,,0.06,
159(40),,,205.81,,0.52,
10(2),,,0.2,,0.03,
228(71),,,359.06,,0.74,
230(55),,,147.6,,0.72,
113(25),,,105.6,,0.33,
193(36),,,164.67,,0.5,
204(57),,,157.1,,0.66,
69(12),,,9.19,,0.17,
52(14),,,2.31,,0.14,
162(39),,,163.63,,0.45,
230(68),,,4452.16,,0.73,
56(16),,,6.68,,0.15,
206(66),,,580.04,,0.64,
157(50),,,195.97,,0.73,
219(83),,,126.21,,0.71,
278(100),,,1738.35,,1.39,
314(69),,,9823.48,,0.96,
21(8),,,29.51,,0.07,
126(27),,,380.07,,0.32,
65(19),,,10.22,,0.17,
88(17),,,18.24,,0.22,
99(28),,,34.42,,0.28,
279(77),,,1377.19,,0.9,
78(20),,,9.07,,0.35,
303(108),,,3283.29,,1.04,
216(47),,,655.42,,0.58,
76(11),,,31.7,,0.52,
41(10),,,1.53,,0.12,
58(12),,,6.42,,0.15,
19(2),,,0.51,,0.07,
34(5),,,0.66,,0.08,
55(7),,,8.6,,0.14,
237(72),,,1492.19,,1.01,
228(85),,,246.59,,0.75,
6(0),,,0.23,,0.02,
116(30),,,101.77,,0.37,
178(61),,,136.45,,0.57,
153(49),,,124.57,,0.72,
72(23),,,11.74,,0.21,
238(75),,,1718.81,,0.75,
307(85),,,38690.12,,0.93,
201(39),,,214.63,,1.25,
179(40),,,283.67,,0.52,
266(77),,,3299.9,,0.85,
184(67),,,688.92,,0.61,
66(24),,,8.84,,0.21,
226(71),,,3551.51,,0.77,
191(48),,,89.69,,0.56,
255(68),,,351.54,,0.87,
16(2),,,1.58,,0.04,
252(67),,,177.92,,0.75,
70(13),,,7.03,,0.55,
125(47),,,131.15,,0.43,
102(15),,,12.59,,0.23,
44(7),,,2.5,,0.18,
250(106),,,5464.61,,1.03,
45(13),,,4.92,,0.28,
31(7),,,1.33,,0.16,
45(8),,,2.28,,0.13,
52(14),,,1.59,,0.3,
48(9),,,2.36,,0.25,
46(16),,,4.45,,0.29,
36(13),,,1.76,,0.18,
43(4),,,5.55,,0.11,
48(17),,,2.21,,0.15,
4(0),,,2.95,,0.01,
262(60),,,643.13,,0.75,
216(59),,,446.29,,0.69,
113(25),,,38.03,,0.29,
174(54),,,160.93,,0.54,
183(38),,,303.86,,0.53,
272(84),,,30091.97,,0.88,
99(31),,,63.8,,0.27,
41(17),,,3.84,,0.14,
248(68),,,3158.21,,0.74,
287(51),,,8793.99,,0.8,
94(18),,,29.41,,0.23,
79(16),,,6.46,,0.18,
229(90),,,282.31,,0.79,
279(74),,,7680.73,,1.48,
89(15),,,213.04,,0.33,
127(34),,,41.37,,0.39,
254(96),,,649.66,,0.92,
237(79),,,1478.81,,1.69,
231(60),,,2810.36,,0.64,
237(65),,,2264.08,,0.77,
313(90),,,1482.63,,1.27,
179(52),,,118.24,,0.56,
168(52),,,275.6,,0.76,
81(33),,,44.94,,0.31,
171(42),,,467.33,,0.47,
103(20),,,22.37,,0.24,
294(92),,,21320.26,,0.98,
192(54),,,100.26,,0.57,
37(5),,,3.66,,0.09,
236(65),,,458.7,,0.73,
277(67),,,290.19,,0.83,
255(60),,,3113.71,,0.79,
44(2),,,1.66,,0.09,
59(19),,,7.05,,0.22,
42(7),,,2.84,,0.32,
259(75),,,687.51,,0.84,
313(77),,,5535.73,,1.21,
248(74),,,799.85,,0.82,
309(109),,,5902.3,,1.3,
186(46),,,313.08,,0.64,
99(23),,,31.57,,0.27,
225(60),,,5357.1,,0.68,
83(16),,,74.01,,0.19,
16(2),,,2.81,,0.11,
26(9),,,0.71,,0.09,
114(48),,,24.22,,0.43,
248(64),,,592.68,,0.73,
139(54),,,123.55,,0.57,
32(8),,,1.14,,0.09,
294(105),,,3760.22,,1.08,
181(48),,,309.6,,0.65,
178(58),,,149.38,,0.78,
242(90),,,1256.91,,0.84,
217(58),,,2616.49,,0.69,
3(0),,,5.31,,0.01,
102(17),,,38.96,,0.27,
191(64),,,3355.07,,0.69,
4(1),,,0.35,,0.02,
145(39),,,70.36,,0.5,
5(1),,,0.15,,0.02,
114(26),,,42.9,,0.33,
321(85),,,8289.42,,1.13,
252(67),,,1126.83,,0.71,
142(50),,,115.94,,0.66,
304(84),,,3497.55,,0.91,
35(5),,,4.03,,0.08,
160(41),,,185.68,,0.46,
69(18),,,4.2,,0.19,
309(58),,,7417.15,,0.89,
255(90),,,2644.82,,1.19,
95(13),,,79.73,,0.33,
13(0),,,0.5,,0.02,
90(28),,,11.47,,0.51,
142(48),,,44.32,,0.45,
165(33),,,175.56,,0.49,
56(6),,,4.44,,0.14,
286(91),,,1507.5,,1.15,
293(73),,,2770.56,,0.92,
149(33),,,45.56,,0.43,
36(10),,,2.86,,0.1,
281(60),,,2466.6,,0.85,
83(26),,,20.84,,0.23,
279(96),,,1349.64,,0.95,
308(99),,,14404.26,,1.11,
196(58),,,127.76,,0.59,
209(56),,,168.26,,0.62,
272(67),,,6892.06,,0.81,
294(75),,,2029.61,,0.82,
198(56),,,204.86,,0.64,
269(80),,,622.6,,0.8,
260(61),,,1141.44,,0.73,
37(6),,,3.05,,0.11,
